season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Summary
1,1,1,"""Night of the Sentinels""",Larry Houston,Mark Edward Edens,1992-10-31,"The X-Men come to the aid of Jubilee when her foster parents turn her into the mutant registration and she is attacked by Sentinels. The X-Men save Jubilee and bring her to their facility. There, she learns a little about them. When Jubilee decides to go back and check on her foster parents, she is captured. The X-Men discover that the group running the Mutant Registration Program intends to track and eliminate mutants, so they decide to enter the building and destroy all the data. After destroying the files on mutants, the X-Men escape to the Blackbird but are stopped by the Sentinels. During the fight with the Sentinels, Morph is killed and Beast is captured and imprisoned by the government. The X-Men manage to track down the Sentinel's headquarters and free Jubilee. She decides to join Xavier's academy."
1,2,2,"""Night of the Sentinels""",Larry Houston,Mark Edward Edens,1992-11-07,"The X-Men come to the aid of Jubilee when her foster parents turn her into the mutant registration and she is attacked by Sentinels. The X-Men save Jubilee and bring her to their facility. There, she learns a little about them. When Jubilee decides to go back and check on her foster parents, she is captured. The X-Men discover that the group running the Mutant Registration Program intends to track and eliminate mutants, so they decide to enter the building and destroy all the data. After destroying the files on mutants, the X-Men escape to the Blackbird but are stopped by the Sentinels. During the fight with the Sentinels, Morph is killed and Beast is captured and imprisoned by the government. The X-Men manage to track down the Sentinel's headquarters and free Jubilee. She decides to join Xavier's academy."
1,3,3,"""Enter Magneto""",Larry Houston,Jim Carlson & Terrence McDonnell,1992-11-27,"Magneto attempts to break Beast out of prison, but Beast would rather stand trial. Sabretooth demands that Beast be set free and ends up going into a destructive rage, prompting the guards to shoot and injure him. Cyclops aids Sabretooth and brings him to the Mansion's infirmary, which does not sit well with Wolverine. Later, Magneto attacks a military missile facility."
1,4,4,"""Deadly Reunions""",Larry Houston,"Don Glut (last name misspelled ""Glutt"")[6]",1993-01-23,"Professor X tries to heal Sabretooth against Wolverine's warnings, while Magneto attacks a chemical plant in order to attract the attention of Professor X."
1,5,5,"""Captive Hearts""",Larry Houston,Robert N. Skir & Marty Isenberg,1993-01-30,"Cyclops and Jean are captured by a group of human mutants called the Morlocks when they go out on a romantic date, much to Logan's hurt. Storm battles their leader Callisto for control of the underground mutant group."
1,6,6,"""Cold Vengeance""",Larry Houston,Michael Edens,1993-02-06,"Wolverine abruptly leaves the X-Men in the middle of the night. Weary of Jean and Cyclops' relationship, he travels to the Arctic where he encounters a vengeful Sabretooth. Wolverine is stranded in freezing waters following the fight and is rescued by Inuit villagers. He befriends the Inuit and finds some momentary peace in the village (before Sabretooth shatters the illusion of peace again). Meanwhile, Gambit proposes a journey to investigate the rumor that Genosha is a mutant-friendly island, much to the intense disapproval of Cyclops. Professor X however sees potential in the suggestion and approves the mission. Storm, Gambit & Jubilee head to the ""mutant-loving"" island paradise of Genosha."
1,7,7,"""Slave Island""",Larry Houston,Mark Edward Edens,1993-02-13,"The X-Men discover the truth behind Genosha as Gambit, Storm, Jubilee, and a host of other mutants are made to work as slaves in order to complete a dam which will power a Sentinel factory. Storm tries to escape but is quickly recaptured and sent to solitary confinement in a small holding room, badly affecting her claustrophobia. Meanwhile, Gambit pretends to betray the mutants to gain the guards' trust by revealing Jubilee's escape attempt. He is allowed to be taken out of the compound where he soon escapes with the help of the mysterious Cable. Gambit returns to break Jubilee and Storm out of the compound and together with the help of the other X-Men they free all the mutants in Genosha."
1,8,8,"""The Unstoppable Juggernaut""",Larry Houston,Julianne Klemm,1993-03-06,"When the X-Mansion is trashed, the X-Men initially blame the Russian mutant Colossus, before discovering the real culprit is the Juggernaut."
1,9,9,"""The Cure""",Larry Houston,Mark Edward Edens,1993-02-20,"Warren Worthington (Archangel) has been supporting Dr. Adler's development to find a ""cure"" for mutant powers. Cable attacks Archangel and learns Dr. Adler has relocated to Muir Island, Scotland. Meanwhile, the X-Men are busy rebuilding the X-Mansion. Wolverine and Gambit squabble, Rogue intervenes and Wolverine accuses her of having a soft spot for Gambit. Professor X then gathers a meeting where he informs the X-Men of Dr. Adler's experimental treatment to remove mutant powers. Rogue decides to travel to Muir Island for the cure, despite Gambit's attempts to dissuade her. It is later revealed that the real Dr. Adler had already been killed by Apocalypse. Since then, Mystique had been posing as a fake Dr. Adler to help Apocalypse enslave mutants searching for the cure. Rogue eventually decides to selflessly keep her powers because she can do more good with her abilities. Having failed to enslave Rogue, Mystique switches targets and plans to enslave Archangel next for Apocalypse."
1,10,10,"""Come the Apocalypse""",Larry Houston,Michael Edens,1993-02-27,"Apocalypse and Mystique turn mutants who journeyed to Muir Island seeking the fictitious cure into the Horsemen of Apocalypse. Soon after, Apocalypse and his four Horsemen attack the World Peace Conference in Paris. Professor X recognizes Archangel as one of the mutants from Muir Island and sends Rogue on a mission to investigate. Rogue confronts ""Dr. Adler"", uncovers Mystique's disguise and in the resulting struggle, Dr. Adler's lab gets destroyed. The X-Men battle the four horsemen, and Rogue absorbs Archangel's dark side. Apocalypse manages to escape via a secret trap door and an underground plane."
1,11,11,"""Days of Future Past""",Larry Houston,Julia Jane Lewald,1993-03-13,"In a future controlled by Sentinels, Bishop is sent back in time to stop a member of the X-Men from assassinating an important political figure. Bishop (who believes Gambit to be the Assassin) and the X-Men go to Washington and stop the assassination of Senator Kelly. Gambit is ordered to stay behind with Wolverine and Bishop, but he sneaks off to Washington and arrives just in time to prevent a duplicate ""Gambit"" from assassinating Senator Kelly. It is soon revealed that the duplicate Gambit is Mystique in disguise (who was attempting to frame Gambit and the X-Men for the assassination under orders from Apocalypse). Bishop sees the two Gambits fighting and attempts to kill them both – only to be stopped by Rogue. Bishop returns to find the future unchanged."
1,12,12,"""Days of Future Past""",Larry Houston,Robert N. Skir & Marty Isenberg,1993-03-20,"In a future controlled by Sentinels, Bishop is sent back in time to stop a member of the X-Men from assassinating an important political figure. Bishop (who believes Gambit to be the Assassin) and the X-Men go to Washington and stop the assassination of Senator Kelly. Gambit is ordered to stay behind with Wolverine and Bishop, but he sneaks off to Washington and arrives just in time to prevent a duplicate ""Gambit"" from assassinating Senator Kelly. It is soon revealed that the duplicate Gambit is Mystique in disguise (who was attempting to frame Gambit and the X-Men for the assassination under orders from Apocalypse). Bishop sees the two Gambits fighting and attempts to kill them both – only to be stopped by Rogue. Bishop returns to find the future unchanged."
1,13,13,"""The Final Decision""",Larry Houston,Mark Edward Edens,1993-03-27,"The X-Men and Magneto team up to stop Master Mold from replacing Senator Kelly's brain with a computer, and engage in an all-out battle against thousands of Sentinels. Kelly calls off his anti-mutant campaign and Beast is freed from prison."
2,14,1,"""Till Death Do Us Part""",Larry Houston,Mark Edward Edens,1993-10-23,"Scott and Jean get married whilst an angst-ridden Wolverine fights Scott-like robots in the danger room. Meanwhile, Mister Sinister uses a brainwashed Morph to lay traps to destroy the X-Men one by one. Morph struggles with his split personality, and his evil side shape-shifts into different X-Men, luring them into dangerous situations. E.g. He tricks Gambit into kissing Rogue, policemen into shooting Storm, sends Jubilee to enter a mutant-hate group alone, changes the intensity in Beast's danger room to high, sends Professor X to Antarctica etc.Mister Sinister and his Nasty Boys kidnap Cyclops & Jean Grey while they are on their honeymoon. Meanwhile, the rest of the X-Men are either in mortal peril or bickering due to Morph's trickery. Eventually, Beast escapes the danger room, Gambit recovers from kissing Rogue and Wolverine rescues Jubilee from the clutches of the Friends of Humanity terrorist group (whilst complaining about the amount of bubblegum he had to sniff in order to track her down). Morph then appears, disguised as Professor X, but is immediately detected by Wolverine, who senses Professor X's scent is wrong. Gambit tricks Morph into revealing himself, and the X-Men realize that Cyclops and Jean are in danger. They travel to the island to confront Mister Sinister and the Nasty Boys. In Antarctica, the real Professor X meets Magneto, and the pair are engulfed by an avalanche."
2,15,2,"""Till Death Do Us Part""",Larry Houston,Mark Edward Edens,1993-10-30,"Scott and Jean get married whilst an angst-ridden Wolverine fights Scott-like robots in the danger room. Meanwhile, Mister Sinister uses a brainwashed Morph to lay traps to destroy the X-Men one by one. Morph struggles with his split personality, and his evil side shape-shifts into different X-Men, luring them into dangerous situations. E.g. He tricks Gambit into kissing Rogue, policemen into shooting Storm, sends Jubilee to enter a mutant-hate group alone, changes the intensity in Beast's danger room to high, sends Professor X to Antarctica etc.Mister Sinister and his Nasty Boys kidnap Cyclops & Jean Grey while they are on their honeymoon. Meanwhile, the rest of the X-Men are either in mortal peril or bickering due to Morph's trickery. Eventually, Beast escapes the danger room, Gambit recovers from kissing Rogue and Wolverine rescues Jubilee from the clutches of the Friends of Humanity terrorist group (whilst complaining about the amount of bubblegum he had to sniff in order to track her down). Morph then appears, disguised as Professor X, but is immediately detected by Wolverine, who senses Professor X's scent is wrong. Gambit tricks Morph into revealing himself, and the X-Men realize that Cyclops and Jean are in danger. They travel to the island to confront Mister Sinister and the Nasty Boys. In Antarctica, the real Professor X meets Magneto, and the pair are engulfed by an avalanche."
2,16,3,"""Whatever It Takes""",Larry Houston,Julia Jane Lewald,1993-11-06,"The Shadow King lures Storm home to Mount Kilimanjaro by 'possessing' her young spiritual son Mjnari, so Rogue and Storm travel to Africa to stop the Shadow King. Meanwhile, Wolverine finds Morph but is unable to convince him to return. After the ensuing fight, Wolverine reluctantly accepts Morph needs time on his own to heal his psychological damage. In Antarctica, Professor X and Magneto survive the avalanche and stumble on a mysterious rainforest called Savage Land. Here, Professor X can walk again, but they are unable to use their mutant powers."
2,17,4,"""Red Dawn""",Larry Houston,Francis Moss & Ted Pedersen,1993-11-13,"Powerless, Magneto and Professor X evade dinosaurs in Savage Land. Magneto says he is surprised Professor X rescued him as Professor X's life would have been easier if Magneto died. Meanwhile, Omega Red is resuscitated by three corrupt Russian generals who want to reclaim and rule the crumbling old Soviet empire. Colossus goes to the X-Men for help to save his country and people. Jubliee decides to fly with Colossus to Russia and writes a note to the X-Men which she pins to the refrigerator. They travel to Russia and Colossus finds his hometown destroyed by Omega Red. Back in the mansion, Wolverine finds the note, crushes it, and travels to Russia as well. Wolverine, Colossus & Jubliee fight Omega Red who proves to be nearly indestructible. Storm, Rogue, and Gambit arrive in Russia soon after, complaining about the person who crushed the note and delayed their arrival. With the help of Colossus and Darkstar (a mutant Russian general who wants to protect her people), Storm freezes Omega Red in a block of ice – effectively bringing about an end to his tyranny. Colossus decides to stay behind in Russia to help rebuild his country."
2,18,5,"""Repo Man""",Larry Houston,Len Wein,1993-11-20,"Wolverine travels to meet a woman from his past named Heather. However, it turns out to be a trap and he is captured by Vindicator and the Alpha Flight team. In a flashback sequence, we learn about Wolverine's past regarding Dr. Cornelius' adamantium injections, ""Weapon X"", getting nursed back to health by Heather, his recruitment to Alpha Flight, and subsequent desertion to join the X-Men. General Chasen sends Alpha Flight to recapture Wolverine to replicate Wolverine's adamantium injections on other test subjects. When this fails, General Chasen and Vindicator decide to remove Wolverine's skeleton from his body so they can study it properly. Heather is horrified and immediately resigns. The rest of Alpha Flight also revolt and help Wolverine escape. Wolverine confronts Vindicator and says he will not show mercy if they come looking for him again. Meanwhile, the rest of the X-Men are worried about Professor X's mysterious disappearance. Jean searches for Professor X in Cerebro and is unable to find him (but senses Wolverine is in trouble)."
2,19,6,"""X-Ternally Yours""",Larry Houston,Julianne Klemm,1993-12-04,"Scott trains in the danger room and complains that the training is too easy. Gambit gets a disturbing phone call and accidentally switches the training room intensity to high, nearly killing Scott (who is rescued by Rogue). Gambit is forced to return to his southern roots by an ancient tithe, an old family feud, and the kidnapping of his brother, Bobby. Trading himself to save Bobby, he falls into the clutches of his ex-fiancé, Bella Donna. She still plans on marrying him and reveals she gave the Thieves Guild a fake tithe. Meanwhile, the rest of the X-Men sense Gambit is in trouble and come after him to investigate. During the tithe presentation, Gambit reveals Bella Donna's deception and a fight ensues. Jean telepathically informs the X-Ternal of Bella Donna's treachery and the X-Ternal strips Bella Donna of her powers. In Savage Land, Magneto and Professor X continue to battle and evade the mutates living there. It is revealed that Magneto was once responsible for creating the mutates residing in Savage Land."
2,20,7,"""Time Fugitives""",Larry Houston,Michael Edens,1993-12-11,"In the future, Cable realises his world is disappearing due to Bishop's time travelling interference. Bishop had time traveled from 2055 AD to stop a plague that Apocalypse started. The plague was scientifically engineered and used by terrorist groups to increase anti-mutant sentiment (falsely accusing mutants of spreading the plague). The X-Men succeed in destroying Apocalypse's laboratory but are killed by Apocalypse in the process. Cable (from the future) realizes with horror that he will have to team up with Apocalypse in order to save his timeline.Cable comes to the present to stop Bishop and save his own future world. He arrives at the same time as Bishop and the two time travelers battle to save their own respective future timelines. Cable finds killing Bishop and helping Apocalypse distasteful, but is prepared to do what it takes to save his son and his future world from ending. Eventually, Cable comes up with the brainwave to deliberately let Wolverine get infected by the virus. Wolverine's healing abilities produce the antibodies needed to create a permanent cure, thwarting Apocalypse. Bishop returns to his timeline and discovers everything is still the same (although there is no longer a plague). Cable returns to his timeline and discovers his world is saved and his son is alive."
2,21,8,"""Time Fugitives""",Larry Houston,Elliot S. Maggin,1993-12-18,"In the future, Cable realises his world is disappearing due to Bishop's time travelling interference. Bishop had time traveled from 2055 AD to stop a plague that Apocalypse started. The plague was scientifically engineered and used by terrorist groups to increase anti-mutant sentiment (falsely accusing mutants of spreading the plague). The X-Men succeed in destroying Apocalypse's laboratory but are killed by Apocalypse in the process. Cable (from the future) realizes with horror that he will have to team up with Apocalypse in order to save his timeline.Cable comes to the present to stop Bishop and save his own future world. He arrives at the same time as Bishop and the two time travelers battle to save their own respective future timelines. Cable finds killing Bishop and helping Apocalypse distasteful, but is prepared to do what it takes to save his son and his future world from ending. Eventually, Cable comes up with the brainwave to deliberately let Wolverine get infected by the virus. Wolverine's healing abilities produce the antibodies needed to create a permanent cure, thwarting Apocalypse. Bishop returns to his timeline and discovers everything is still the same (although there is no longer a plague). Cable returns to his timeline and discovers his world is saved and his son is alive."
2,22,9,"""A Rogue's Tale""",Larry Houston,Robert N. Skir & Marty Isenberg,1994-01-08,"Mystique, Rogue's foster mother, forces her to revisit her own past. Due to Professor X's long disappearance, Ms. Marvel's suppressed consciousness begins to break free – causing Rogue to receive haunting visions. Mystique lures Rogue to the hospital where she sees Ms. Marvel's comatose body and remembers the past. She remembers how she ran away from her abusive, mutant-hating father and found Mystique. Mystique raised her and one day sent her on a mission to attack Ms. Marvel, resulting in Rogue absorbing her powers permanently. Unfortunately, when Rogue absorbed her powers, she also absorbed her consciousness – leaving Ms. Marvel in a coma and Rogue plagued with Ms. Marvel's psyche. Rogue finds Professor X who helps her suppress the visions along with her memories. In the present day, Ms. Marvel's consciousness begins to fight Rogue over control of her body. Jean uses Cerebro to help Rogue trap/restrain Ms. Marvel – Rogue is saddened regarding Ms. Marvel's fate but is left with no choice. Mystique tries to convince Rogue to join her, but Rogue declares Mystique made her worse than a killer. She visits Ms. Marvel's comatose body in the hospital, brings her flowers, and tells the nurses Ms. Marvel's real name. As she leaves, Ms. Marvel's body shows signs of life and gives a small smile."
2,23,10,"""Beauty & the Beast""",Larry Houston,Stephanie Mathison,1994-01-15,"Beast falls in love with Carly, a blind patient of his. The Friends of Humanity group attacks the hospital Beast is working in, resulting in Beast losing his job (partly thanks to pressure from Carly's mutant-hating father). Wolverine is enraged that the anti-mutant group would attack a hospital for the blind and Jean tries to calm Wolverine down, telling him the situation has to be approached ""delicately"". Taking her advice, Wolverine masquerades as a mutant-hating human named Logan to infiltrate the group. He talks to Graydon Creed regarding his plans to exterminate mutants and recognizes him as Sabretooth's son. Meanwhile, Carly gets kidnapped by thugs from Friends of Humanity. Beast and Logan infiltrate the group to rescue Carly and expose Creed's mutant connections to the members from Friends of Humanity (who desert Creed). Carly is successfully rescued, earning the gratitude of Carly's father."
2,24,11,"""Mojovision""",Larry Houston,Brooks Wachtel,1994-02-05,"An alien, Mojo, kidnaps and casts the X-Men (except Gambit and Jubilee)  as his latest all-galaxy television hit. The X-Men are forced into acting out movie scenes for Mojo's entertainment. Eventually, they are set free by Spiral (Mojo's assistant) and Longshot (Mojo's previous actor), who wants his limelight back. Meanwhile, in the Savage Land, Professor X and Magneto find Magneto's citadel. They also encounter Sauron, who appears to be a dangerous foe."
2,25,12,"""Reunion""",Larry Houston,Len Wein,1994-02-12,"Professor Xavier, Magneto, and Jean are captured by Mister Sinister, the Nasty Boys, and the mutates in Savage Land. It is revealed that Mister Sinister is the shadowy master who has been leading the mutates. Mister Sinister summons Sauron to use his mind control powers on Professor X, forcing him to send a message to lure the rest of the X-Men to Savage Land. The remaining X-Men are aware that they are walking into a trap but travel to Savage Land anyway to rescue Jean and the Professor. Upon touchdown in the Savage Land, the X-Men realize they no longer have their mutant powers (due to Sinister's machines) and are captured by the Nasty Boys and the mutates (who are unaffected due to Sinister's immunity belts). Wolverine alone evades capture by jumping off a cliff. He has to team up with Ka-Zar to rescue the others in the epic finale."
2,26,13,"""Reunion""",Larry Houston,Michael Edens,1994-02-19,"Professor Xavier, Magneto, and Jean are captured by Mister Sinister, the Nasty Boys, and the mutates in Savage Land. It is revealed that Mister Sinister is the shadowy master who has been leading the mutates. Mister Sinister summons Sauron to use his mind control powers on Professor X, forcing him to send a message to lure the rest of the X-Men to Savage Land. The remaining X-Men are aware that they are walking into a trap but travel to Savage Land anyway to rescue Jean and the Professor. Upon touchdown in the Savage Land, the X-Men realize they no longer have their mutant powers (due to Sinister's machines) and are captured by the Nasty Boys and the mutates (who are unaffected due to Sinister's immunity belts). Wolverine alone evades capture by jumping off a cliff. He has to team up with Ka-Zar to rescue the others in the epic finale."
